% Model:              kaiguan.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 3 2025, 22:05
% Dimension:          3
% Nodes:              78141
% Expressions:        4
% Description:        电场，x 分量, 电场，y 分量, 电场，z 分量, 电场模
% Length unit:        m
% x,y,z,esbe.Ex (V/m) @ freq=50,esbe.Ey (V/m) @ freq=50,esbe.Ez (V/m) @ freq=50,esbe.normE (V/m) @ freq=50
4.4,0,2,1131.7190233254605,-0.40780778390482914,-592.8987587839965,1277.621638918004
4.5,0,2,1056.4762953388183,-0.39140977220684114,-575.7616608209371,1203.180703753899
4.6,0,2,987.1385431504914,-0.37467671996907037,-558.6801454958811,1134.2689931084328
4.7,0,2,923.1799482430263,-0.35879200876954587,-541.748695140519,1070.398521232236
4.8,0,2,864.1268621921918,-0.3447122766811781,-525.0430728321827,1011.1308427289406
4.9,0,2,809.5520880902177,-0.3330326670983804,-508.62321598093513,956.0712683041876
5,0,2,759.0698362720507,-0.32394858769695956,-492.5357404164698,904.8638443812226
5.1,0,2,712.3312701663247,-0.31729971636031234,-476.81612930539313,857.1870042771628
5.2,0,2,669.0205729673564,-0.31266651384658006,-461.4906468707097,812.7498028071523
5.3,0,2,628.8514709745725,-0.3094855767628155,-446.5779986210266,771.2886471228314
5.4,0,2,591.564150114059,-0.30715582125364005,-432.090754805885,732.5644397823216
5.5,0,2,556.9225052015076,-0.3051183703792889,-418.0365560383365,696.3600592233421
5.6,0,2,524.7116721368741,-0.30290449384742085,-404.41912323874504,662.4781187850675
5.7,0,2,494.7358120243623,-0.3001547272294556,-391.23909421356893,630.7389655264047
5.8,0,2,466.81613827385354,-0.2966170507540452,-378.4947054037018,600.9788989250982
5.9,0,2,440.78919463042666,-0.2921330684814558,-366.1823314616888,573.0486011843917
6,0,2,416.50539586175864,-0.2866197204538456,-354.29689054067273,546.8117716176325
0,0.1,2,-2.6532917304753214,246364.77545194907,389221.0828576357,460639.3968511592
0.1,0.1,2,162442.8600768095,162452.8794412763,269449.03062977,354092.3621543093
0.2,0.1,2,147746.8443429082,73881.87055935943,140608.53443374007,216929.52949343194
0.3,0.1,2,107576.73315565175,35866.457855762914,81785.52093222555,139814.26161059903
0.4,0.1,2,79920.57824799525,19986.849745606272,54070.96640529628,98541.57700306024
0.5,0.1,2,62176.68468894949,12441.182343165665,38630.03399866467,74249.59706114863
0.6,0.1,2,50211.41035214551,8373.543124525757,28817.655886407003,58495.80536070262
0.7,0.1,2,41650.356322247,5954.170683810131,22040.4506491665,47497.21881458354
0.8,0.1,2,35218.09974980512,4405.571357419637,17110.511677195376,39401.69055799483
0.9,0.1,2,30200.95621953027,3358.227780621807,13401.18415240091,33210.9498070604
1,0.1,2,26174.910957940738,2619.3993991037723,10544.833545008492,28340.44338679421
1.1,0.1,2,22873.182127180302,2080.7259998928075,8308.622324506629,24424.272481305976
1.2,0.1,2,20119.357932265848,1677.494387897327,6536.597602168771,21220.97215588236
1.3,0.1,2,17791.771113293205,1369.1084193444715,5119.78812828742,18564.315438234917
1.4,0.1,2,15803.465288379384,1129.0433496546548,3979.4949470672645,16335.869552617803
1.5,0.1,2,14090.369234873546,939.3664526335181,3057.365877952572,14448.820042448895
1.6,0.1,2,12604.016648836681,787.5974563033839,2309.204878294846,12837.989430096462
1.7,0.1,2,11306.899521595547,664.8329241666881,1700.9517338243177,11453.436881971875
1.8,0.1,2,10169.408731452073,564.5847480648038,1205.980108536185,10256.218499391773
1.9,0.1,2,9167.764516926485,482.0378603770989,803.2275088160359,9215.50004978417
2,0.1,2,8282.58289904084,413.562282842107,475.86810735890685,8306.543426532766
2.1,0.1,2,7497.861197758497,356.38398136006936,210.35038681930018,7509.272892115292
