% Model:              shortPowerline.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 1 2025, 22:37
% Dimension:          3
% Nodes:              8
% Expressions:        4
% Description:        电场，x 分量, 电场，y 分量, 电场，z 分量, 电场模
% Length unit:        m
% x,y,z,esbe.Ex (V/m) @ freq=50,esbe.Ey (V/m) @ freq=50,esbe.Ez (V/m) @ freq=50,esbe.normE (V/m) @ freq=50
0,0,2,255.062245757852+139.85850914864704i,4.342818732978632-7.71331621138205i,-12276.645057688607+21272.473342045043i,24562.549368247608
1,0,2,-7232.870622973663+13139.038834160507i,4.691661488329448-7.641010163980432i,-4897.593192785955+8747.395201676754i,18040.293268883353
0,1,2,254.63575857587966+138.81652873744588i,-12.073391048779087+20.449185404097193i,-12282.98491766094+21284.363434494844i,24576.015108908497
1,1,2,-7233.463512866859+13138.27676657096i,-15.178968227581777+21.640506984113983i,-4902.893157805407+8756.104551677363i,18045.65703254868
0,0,3,350.37662749600713+199.56220620477598i,3.308995410234031-5.290395962642317i,-5210.9397050699+9032.952315802217i,10436.031235216358
1,0,3,-2362.8727500338637+4935.9967378382335i,3.410969895465998-5.108688791308632i,-3613.446674867395+6462.2998841608405i,9206.822786779081
0,1,3,349.2557529583528+198.58508969590412i,-20.86747388940219+36.36075518722163i,-5214.075500794102+9038.89383812143i,10442.76583667465
1,1,3,-2363.7155234650663+4934.5646352847925i,-22.908826660865486+33.746093832495205i,-3616.947001153989+6467.925525370245i,9211.683290243634
